"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 21 10:51:56 GMT 2021","Sun Mar 21 10:51:57 GMT 2021","653","Suite","Test","test.java.tests.TestLoginGA","test.java.tests.TestLoginGA","failed","failed",""
"broken","Sun Mar 21 10:51:57 GMT 2021","Sun Mar 21 10:51:57 GMT 2021","53","Suite","Test","test.java.tests.TestLoginGA","test.java.tests.TestLoginGA","succeeded2","succeeded2",""
"passed","Sun Mar 21 10:51:57 GMT 2021","Sun Mar 21 10:51:57 GMT 2021","518","Suite","Test","test.java.tests.TestLoginGA","test.java.tests.TestLoginGA","succeeded","succeeded",""
"passed","Sun Mar 21 10:51:59 GMT 2021","Sun Mar 21 10:51:59 GMT 2021","526","Suite","Test","test.java.tests.TestLoginNG","test.java.tests.TestLoginNG","pass","testng description.","allure description. I'll check the pass test behavior."
"failed","Sun Mar 21 10:51:59 GMT 2021","Sun Mar 21 10:51:59 GMT 2021","92","Suite","Test","test.java.tests.TestLoginNG","test.java.tests.TestLoginNG","fail","fail","I'll validate with invalid page title to the fail test behavior."
"skipped","Sun Mar 21 10:51:59 GMT 2021","Sun Mar 21 10:51:59 GMT 2021","2","Suite","Test","test.java.tests.TestLoginNG","test.java.tests.TestLoginNG","skip","skip","I'll skip the test to check skip test behavior."
