"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 21 06:40:13 GMT 2021","Sun Mar 21 06:40:14 GMT 2021","584","Suite","Test","test.java.tests.TestLoginGA","test.java.tests.TestLoginGA","failed","failed",""
"broken","Sun Mar 21 06:40:14 GMT 2021","Sun Mar 21 06:40:14 GMT 2021","18","Suite","Test","test.java.tests.TestLoginGA","test.java.tests.TestLoginGA","succeeded2","succeeded2",""
"passed","Sun Mar 21 06:40:14 GMT 2021","Sun Mar 21 06:40:14 GMT 2021","443","Suite","Test","test.java.tests.TestLoginGA","test.java.tests.TestLoginGA","succeeded","succeeded",""
